variable,relative_importance,scaled_importance,percentage
MINsssN_diff,5946.21923828125,1.0,0.033406096187509296
MINssO_diff,5601.2421875,0.9419837989557605,0.03146800139499155
MINssNH_diff,5596.20263671875,0.9411362770970295,0.03143968899825777
MAXssNH_diff,5294.57421875,0.8904101928606979,0.029745128549043175
MAXssO_diff,4945.57421875,0.8317174359987969,0.027784432667804414
MINaaN_diff,4807.81689453125,0.8085502235738192,0.02701050654113915
MAXsssN_diff,4488.79833984375,0.7548995689471473,0.025218247612157706
MAXaaN_diff,4409.55859375,0.7415734968804446,0.024773075566895755
MINssssC_diff,4229.3310546875,0.7112638947887137,0.02376055008401426
MAXaaaC_diff,3801.97216796875,0.639393203582535,0.02135963086051788
MDEC-24_diff,3745.86328125,0.6299571427058144,0.021044408903238953
MAXssssC_diff,3660.27197265625,0.615562902405571,0.020563553527222903
MINaaaC_diff,2881.87451171875,0.4846566189765572,0.016190485631443912
MDEC-34_diff,2548.771240234375,0.42863727994178286,0.014319098203287547
MAXsF_diff,2309.375244140625,0.3883770765250405,0.01297416197541916
MAXaasN_diff,2200.625,0.3700881033502036,0.01236319877836978
MINaasN_diff,2122.777587890625,0.35699618578211256,0.01192584892081119
MINsF_diff,1943.0791015625,0.3267755566517163,0.010916295677234128
MINsNH2_diff,1831.9139404296875,0.3080804570130853,0.01029176538047095
MDEC-11_diff,1518.2841796875,0.25533605789590075,0.008529780910209901
MDEC-14_diff,1460.3212890625,0.24558820160230163,0.008204143085243911
MINaaNH_diff,1411.611328125,0.23739644832420023,0.007930488587291312
MAXsCl_diff,1409.3529052734375,0.23701664011985032,0.007917800677883995
MAXsNH2_diff,1396.947998046875,0.23493045615497046,0.007848109415688378
GeomPetitjeanIndex_diff,1304.6358642578125,0.21940594720401135,0.007329496176408789
GeomShapeIndex_diff,1287.013916015625,0.21644239212202934,0.007230495370283117
MDEO-12_diff,1178.9215087890625,0.19826405007055017,0.006623227927181959
PBF_diff,1141.8143310546875,0.19202358428087962,0.006414758326757363
MAXaaNH_diff,1113.9464111328125,0.18733692225159157,0.006258195244208618
MINsCl_diff,1038.673095703125,0.17467790104613645,0.005835306764179465
GeomRadius_diff,996.0731811523438,0.16751369924938353,0.00559597874985041
GeomDiameter_diff,994.66552734375,0.16727696835329894,0.005588070494765253
MOMI-Z_diff,934.2395629882812,0.15711488688034356,0.0052485950236143995
MINdsCH_diff,926.98681640625,0.15589516283530017,0.005207848804843462
PNSA1_diff,782.2843017578125,0.1315599493408405,0.004394904322103968
MOMI-Y_diff,757.9757690429688,0.12747188401046258,0.004258338018456541
TPSA_diff,757.9224853515625,0.12746292307423218,0.004258038668558899
PNSA3_diff,727.2094116210938,0.12229777989674209,0.004085491398749407
MOMI-X_diff,724.6151733398438,0.12186149623862393,0.004070916864901273
FNSA3_diff,717.4124755859375,0.12065018910962742,0.004030451822437399
PNSA5_diff,660.846435546875,0.11113724688999058,0.0037126615596219936
MAXdsCH_diff,651.3883666992188,0.10954664478323238,0.0036595257526475743
DPSA5_diff,648.9210205078125,0.1091317010866526,0.0036456641036072294
WNSA4_diff,648.4387817382812,0.10905060102118132,0.0036429548670192822
RASA_diff,642.1988525390625,0.10800120661623798,0.003607898696589111
RPSA_diff,621.750244140625,0.10456228053917861,0.003493017601277132
WNSA1_diff,616.97314453125,0.10375889616703497,0.0034661796656657597
MINddssS_diff,613.2449951171875,0.10313191803779598,0.003445234773972937
WNSA5_diff,612.563720703125,0.10301734533424066,0.0034414073472175052
RNCS_diff,609.2575073242188,0.10246132591308964,0.003422832908952411
PNSA2_diff,605.0796508789062,0.10175871871380983,0.003399361545271233
FNSA1_diff,600.2487182617188,0.1009462810246499,0.003372221173680799
DPSA3_diff,593.0803833007812,0.09974075282703682,0.0033319491827545813
PNSA4_diff,585.3811645507812,0.09844594373213612,0.0032886946655858672
FNSA5_diff,578.2526245117188,0.09724710800923347,0.0032486462441135592
DPSA1_diff,569.0103149414062,0.09569279102226279,0.0031967225813409363
WNSA3_diff,562.8404541015625,0.09465518029978509,0.0031620600577406555
FPSA1_diff,560.5660400390625,0.09427268278811288,0.0031492823090742508
PPSA4_diff,557.540283203125,0.09376382889041972,0.003132283486822524
FPSA5_diff,550.9938354492188,0.09266288600695509,0.0030955052829605505
DPSA4_diff,550.1880493164062,0.0925273736586002,0.0030909783444168118
MINtsC_diff,545.938232421875,0.09181266457637005,0.003067102704069745
PPSA5_diff,542.9856567382812,0.09131611785226251,0.003050515016442616
FNSA4_diff,528.8462524414062,0.08893823642369918,0.0029710792807175375
FNSA2_diff,527.7722778320312,0.08875762172277109,0.0029650456486454554
TASA_diff,524.6405639648438,0.08823094859793476,0.002947451555577797
WNSA2_diff,523.3129272460938,0.08800767450299342,0.0029399928396860076
DPSA2_diff,469.78143310546875,0.07900506427362385,0.002639250776425032
FPSA2_diff,469.31182861328125,0.0789260889662278,0.002636612519709722
FPSA4_diff,467.974609375,0.07870120333979944,0.002629099968842068
