variable,relative_importance,scaled_importance,percentage
mol_1_MAXaaaC,3280.4765625,1.0,0.019578123177205323
mol_2_MAXaaaC,2995.241943359375,0.9130508590120052,0.01787582218479017
mol_2_MAXaasN,2972.737548828125,0.9061907598457731,0.017741514318305833
mol_1_MINsCl,2954.740478515625,0.9007046452616212,0.017634106491213043
mol_2_MDEC-34,2850.8623046875,0.8690390711143817,0.01701415398008146
mol_1_MDEC-24,2779.6572265625,0.8473333595299845,0.016589196885033238
mol_2_MINaaaC,2763.765869140625,0.8424891373204636,0.01649435610591749
mol_2_MINsNH2,2729.57373046875,0.8320662191802354,0.01629029493070217
mol_2_MDEC-24,2674.5810546875,0.8153025951355201,0.01596209463425837
mol_1_MINsNH2,2527.884033203125,0.7705843907254329,0.01508659612005424
mol_2_MINsCl,2468.601806640625,0.7525131667940776,0.014732795471963307
mol_1_MAXsCl,2467.916748046875,0.7523043378081976,0.014728706992354778
mol_1_MINaasN,2359.484619140625,0.7192505644187559,0.014081576145464854
mol_1_MINaaaC,2240.18310546875,0.6828834356193484,0.013369576018228763
mol_1_MDEO-12,2103.4169921875,0.6411925072814783,0.012553345887857902
mol_1_MAXsNH2,2000.2117919921875,0.6097320782160557,0.011937409732407329
mol_2_MAXsNH2,1989.470703125,0.6064578317270023,0.01187330613133211
mol_2_MAXsCl,1921.2786865234375,0.585670603011186,0.011466331207021117
mol_1_MDEC-34,1872.49560546875,0.5707998730653178,0.011175190224405954
mol_2_MDEO-12,1593.6151123046875,0.4857876841803187,0.009510811118851596
mol_2_MINaasN,1493.2252197265625,0.45518545591698995,0.008911676924415192
mol_1_MINaaNH,1392.24072265625,0.42440197213152625,0.00830899408703988
mol_1_MDEN-23,1299.5523681640625,0.3961474326686529,0.007755823233120537
mol_1_MAXaasN,1297.46923828125,0.3955124243571699,0.007743390962179775
mol_2_MDEN-23,1220.1837158203125,0.3719531880729029,0.007282145332245511
mol_1_MAXtsC,1083.728759765625,0.3303571109618696,0.006467772210877169
mol_2_MINaaNH,1082.133544921875,0.3298708356255403,0.006458251852444478
mol_2_MDEN-22,1062.95947265625,0.32402593111233363,0.006343819591925914
mol_2_MAXaaNH,1042.48193359375,0.3177836859164422,0.006221608146578434
mol_1_MDEC-14,1033.35107421875,0.31500029173543287,0.006167114512451916
mol_1_MAXaaNH,991.3197631835938,0.30218772922069725,0.0059162685853227795
mol_1_MINdsCH,868.9779663085938,0.26489381946577883,0.005186123826381407
mol_2_MDEC-14,861.6297607421875,0.262653838345229,0.0051422692000886675
mol_1_MAXdsCH,851.993896484375,0.25971650162776466,0.005084761660021223
mol_1_MDEN-22,846.8281860351562,0.2581418186965499,0.005053932323628858
mol_2_MINtsC,815.4511108398438,0.24857702693611114,0.004866671652378669
mol_2_GeomShapeIndex,760.458740234375,0.23181349591927622,0.004538473177246173
mol_1_GeomShapeIndex,751.0283813476562,0.22893880417646065,0.0044821921082088345
mol_1_GeomPetitjeanIndex,750.6480102539062,0.22882285422635334,0.004479922025803243
mol_2_MAXdsCH,735.4120483398438,0.22417841869273947,0.004388992694837562
mol_2_MINddssS,701.0029296875,0.21368935772956008,0.004183636567287219
mol_2_GeomPetitjeanIndex,699.2383422851562,0.21315145191961915,0.0041731053810824615
mol_1_MAXddssS,606.62353515625,0.18491933217591766,0.0036203734631866636
mol_2_MINdsCH,605.0825805664062,0.1844495971967202,0.003611176933903293
mol_2_PBF,568.94482421875,0.17343358910790876,0.003395504170619453
mol_1_PBF,541.7091674804688,0.16513124150097286,0.003232959786510886
mol_2_MAXtsC,524.494873046875,0.15988374342999898,0.0031302236229052123
mol_2_MAXddssS,468.6333312988281,0.14285525970705,0.0027968378710562813
mol_2_MDEN-12,468.59649658203125,0.14284403124188796,0.002796618038782248
mol_1_GeomDiameter,463.9350280761719,0.1414230582774273,0.0027687980550525583
mol_2_GeomDiameter,440.4507751464844,0.13426426519286688,0.002628642322242909
mol_2_MINdsN,434.335693359375,0.13240018182857388,0.0025921470685242014
mol_1_GeomRadius,417.9169006347656,0.12739517953339002,0.002494158517086896
mol_2_GeomRadius,412.4347229003906,0.12572402669021984,0.0024614404808753734
mol_2_MAXdsN,412.3946838378906,0.1257118214323138,0.0024612015248326796
mol_1_MOMI-Z,407.6217956542969,0.12425688398872592,0.0024327165803469876
mol_1_MDEN-12,382.9507751464844,0.1167363240829386,0.002285478132149932
mol_2_MOMI-Z,365.31475830078125,0.11136027078406577,0.0021802250984573786
mol_2_Mor02m,349.1249084472656,0.10642505800474397,0.0020836028947580987
mol_2_MOMI-Y,338.6430969238281,0.10322984800286258,0.0020210466797642265
mol_2_MOMI-X,328.19049072265625,0.10004354076913367,0.001958664764261862
mol_1_MOMI-Y,324.2567138671875,0.09884439278544228,0.001935187697329454
mol_2_MINaaS,324.06134033203125,0.09878483633642215,0.0019340216938345412
mol_1_MOMI-X,318.24639892578125,0.09701224589248418,0.0018993176997803864
mol_1_MINtsC,311.6773681640625,0.09500978355612394,0.0018601132455014113
mol_1_MINdsN,306.25262451171875,0.09335613856004153,0.0018277379800767408
